자치구,기간,합계,살인,강도,강간강제추행,절도,폭력,금액(천원/명),상대격차(배),절대격차(천원/명),이사간 인구 수,지하철 역 수
성동구,2017,2767,1,3,132,1072,1559,620.7,0.93,-45.3,50416,19
강남구,2017,7720,7,20,607,3130,3956,537.6,0.81,-128.4,90474,29
성북구,2017,3434,7,8,173,1344,1902,695.6,1.04,29.5,61285,9
은평구,2017,3883,6,4,230,1387,2256,761.7,1.14,95.7,68402,15
도봉구,2017,1999,1,3,104,633,1258,716.9,1.08,50.9,40965,7
마포구,2017,5278,3,8,500,2094,2673,668.8,1,2.8,57490,22
양천구,2017,3882,3,3,138,1590,2148,601.6,0.9,-64.5,54797,6
중구,2017,4184,1,9,267,1846,2061,905.0,1.36,238.9,20904,23
동대문구,2017,3975,11,3,165,1547,2249,754.6,1.13,88.6,47899,11
강서구,2017,5135,11,4,316,1888,2916,716.9,1.08,50.9,90217,21
종로구,2017,4057,7,10,253,1644,2143,778.8,1.17,112.8,28020,15
노원구,2017,4209,4,9,180,1538,2478,791.0,1.19,124.9,64406,18
금천구,2017,3265,5,5,240,1141,1874,870.1,1.31,204,34230,4
서초구,2017,4708,9,13,470,1812,2404,487.8,0.73,-178.3,68680,19
강북구,2017,3393,8,7,208,1014,2156,839.2,1.26,173.2,42231,3
동작구,2017,3330,1,7,396,1226,1700,632.3,0.95,-33.7,60949,17
구로구,2017,4895,7,8,328,1725,2827,702.8,1.06,36.8,50077,13
중랑구,2017,4571,5,3,172,1533,2858,730.8,1.1,64.8,56385,14
용산구,2017,4060,1,5,327,1346,2381,620.3,0.93,-45.8,35154,18
강동구,2017,4261,5,10,172,1645,2429,666.6,1,0.6,81615,11
광진구,2017,4646,6,13,261,2220,2146,544.8,0.82,-121.2,56010,11
