기간,구분,성별,합계,동북아시아,동북아시아,동북아시아,동북아시아,동북아시아,동북아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,동남아시아,서남아시아,서남아시아,서남아시아,서남아시아,서남아시아,서남아시아,중앙아시아,중앙아시아,중앙아시아,중앙아시아,중앙아시아,아시아(기타),북미,북미,유럽,유럽,유럽,유럽,유럽,오세아니아,중남미,아프리카,기타
기간,구분,성별,합계,소계,중국,중국(한국계),대만,일본,몽골,소계,베트남,필리핀,태국,인도네시아,캄보디아,미얀마,말레이시아,라오스,동티모르,기타,소계,스리랑카,파키스탄,방글라데시,네팔,기타,소계,우즈베키스탄,카자흐스탄,키르기스탄,기타,아시아(기타),미국,캐나다,소계,러시아,러시아(한국계),영국,기타,오세아니아,중남미,아프리카,기타
2013,도봉구,여자,"2,603","1,685",564,871,30,138,82,501,283,158,22,7,28,1,-,,,2,9,,,,,41,,,,,,,218,,,7,,,,,,,142
2013,노원구,계,"6,528","4,190","1,285","2,220",139,388,158,722,419,194,17,15,52,3,8,,,14,114,,,,,85,,,,,,,793,,,46,,,,,,,578
2013,노원구,남자,"2,722","1,663",508,902,58,127,68,211,102,73,6,9,13,1,3,,,4,85,,,,,46,,,,,,,403,,,21,,,,,,,293
2013,노원구,여자,"3,806","2,527",777,"1,318",81,261,90,511,317,121,11,6,39,2,5,,,10,29,,,,,39,,,,,,,390,,,25,,,,,,,285
2013,은평구,계,"8,443","6,013","1,252","3,498",584,596,83,"1,020",649,178,59,32,65,6,12,,,19,66,,,,,183,,,,,,,663,,,32,,,,,,,466
2013,은평구,남자,"3,468","2,457",512,"1,348",329,235,33,284,157,55,14,18,22,4,4,,,10,47,,,,,73,,,,,,,334,,,15,,,,,,,258
2013,은평구,여자,"4,975","3,556",740,"2,150",255,361,50,736,492,123,45,14,43,2,8,,,9,19,,,,,110,,,,,,,329,,,17,,,,,,,208
2013,서대문구,계,"13,089","8,609","2,288","2,683","2,482",967,189,"1,030",355,157,146,56,32,28,48,,,208,323,,,,,137,,,,,,,"1,603",,,113,,,,,,,"1,274"
2013,서대문구,남자,"5,384","3,353",811,"1,012","1,252",221,57,281,94,36,35,21,10,4,16,,,65,203,,,,,44,,,,,,,835,,,30,,,,,,,638
2013,서대문구,여자,"7,705","5,256","1,477","1,671","1,230",746,132,749,261,121,111,35,22,24,32,,,143,120,,,,,93,,,,,,,768,,,83,,,,,,,636
2013,마포구,계,"13,673","9,260","2,226","4,274","1,603","1,020",137,911,379,162,114,38,39,2,34,,,143,326,,,,,118,,,,,,,"1,640",,,79,,,,,,,"1,339"
2013,마포구,남자,"6,095","3,843",820,"1,752",819,400,52,294,124,47,43,12,13,-,15,,,40,221,,,,,46,,,,,,,880,,,35,,,,,,,776
2013,마포구,여자,"7,578","5,417","1,406","2,522",784,620,85,617,255,115,71,26,26,2,19,,,103,105,,,,,72,,,,,,,760,,,44,,,,,,,563
2013,양천구,계,"9,112","6,639",978,"5,005",291,277,88,799,416,263,43,12,38,13,2,,,12,72,,,,,54,,,,,,,933,,,31,,,,,,,584
2013,양천구,남자,"3,813","2,758",287,"2,190",152,96,33,245,107,95,17,6,10,6,-,,,4,52,,,,,18,,,,,,,441,,,10,,,,,,,289
2013,양천구,여자,"5,299","3,881",691,"2,815",139,181,55,554,309,168,26,6,28,7,2,,,8,20,,,,,36,,,,,,,492,,,21,,,,,,,295
2013,강서구,계,"11,753","8,195","1,980","5,335",302,489,89,"1,201",583,398,55,69,43,11,23,,,19,293,,,,,117,,,,,,,898,,,105,,,,,,,944
2013,강서구,남자,"5,361","3,386",646,"2,329",176,202,33,497,182,194,28,49,13,7,19,,,5,202,,,,,42,,,,,,,507,,,41,,,,,,,686
2013,강서구,여자,"6,392","4,809","1,334","3,006",126,287,56,704,401,204,27,20,30,4,4,,,14,91,,,,,75,,,,,,,391,,,64,,,,,,,258
2013,구로구,계,"41,622","39,155","3,419","35,094",268,291,83,"1,056",531,250,60,35,53,42,74,,,11,184,,,,,118,,,,,,,530,,,62,,,,,,,517
2013,구로구,남자,"20,252","19,093","1,312","17,520",132,91,38,400,166,92,33,18,12,25,50,,,4,147,,,,,37,,,,,,,279,,,17,,,,,,,279
2013,구로구,여자,"21,370","20,062","2,107","17,574",136,200,45,656,365,158,27,17,41,17,24,,,7,37,,,,,81,,,,,,,251,,,45,,,,,,,238
2013,금천구,계,"26,287","24,607","2,541","21,691",83,135,157,974,535,248,51,41,54,39,1,,,5,207,,,,,57,,,,,,,184,,,14,,,,,,,244
2013,금천구,남자,"12,768","11,932",986,"10,785",44,37,80,424,187,112,32,32,24,35,-,,,2,175,,,,,39,,,,,,,101,,,8,,,,,,,89
2013,금천구,여자,"13,519","12,675","1,555","10,906",39,98,77,550,348,136,19,9,30,4,1,,,3,32,,,,,18,,,,,,,83,,,6,,,,,,,155
2013,영등포구,계,"53,666","50,373","3,677","45,933",464,218,81,846,435,173,55,62,34,56,8,,,23,239,,,,,107,,,,,,,"1,239",,,52,,,,,,,810
2013,영등포구,남자,"25,807","24,223","1,489","22,353",254,93,34,289,114,47,30,30,12,44,3,,,9,162,,,,,42,,,,,,,634,,,17,,,,,,,440
2013,영등포구,여자,"27,859","26,150","2,188","23,580",210,125,47,557,321,126,25,32,22,12,5,,,14,77,,,,,65,,,,,,,605,,,35,,,,,,,370
2013,동작구,계,"16,498","14,171","2,934","10,711",180,272,74,661,408,116,34,10,50,3,19,,,21,64,,,,,59,,,,,,,746,,,48,,,,,,,749
2013,동작구,남자,"7,345","6,211","1,222","4,778",86,104,21,233,137,33,14,4,23,2,12,,,8,48,,,,,20,,,,,,,377,,,19,,,,,,,437
2013,동작구,여자,"9,153","7,960","1,712","5,933",94,168,53,428,271,83,20,6,27,1,7,,,13,16,,,,,39,,,,,,,369,,,29,,,,,,,312
2013,관악구,계,"27,673","23,653","2,428","20,396",141,452,236,"1,354",659,227,76,69,109,23,114,,,77,354,,,,,175,,,,,,,992,,,95,,,,,,,"1,050"
2013,관악구,남자,"12,304","10,356",903,"9,135",62,169,87,458,226,64,15,34,29,7,58,,,25,245,,,,,78,,,,,,,517,,,31,,,,,,,619
2013,관악구,여자,"15,369","13,297","1,525","11,261",79,283,149,896,433,163,61,35,80,16,56,,,52,109,,,,,97,,,,,,,475,,,64,,,,,,,431
2013,서초구,계,"10,594","4,008",821,"2,505",174,457,51,449,171,112,56,24,19,5,14,,,48,180,,,,,40,,,,,,,"3,432",,,62,,,,,,,"2,423"
2013,서초구,남자,"5,076","1,658",441,871,81,245,20,201,83,30,38,15,4,3,6,,,22,121,,,,,12,,,,,,,"1,749",,,28,,,,,,,"1,307"
2013,서초구,여자,"5,518","2,350",380,"1,634",93,212,31,248,88,82,18,9,15,2,8,,,26,59,,,,,28,,,,,,,"1,683",,,34,,,,,,,"1,116"
2013,강남구,계,"13,251","4,953","1,186","2,668",223,841,35,627,215,191,89,33,23,8,24,,,44,371,,,,,65,,,,,,,"4,781",,,58,,,,,,,"2,396"
2013,강남구,남자,"6,659","2,105",624,888,118,465,10,349,129,89,57,24,7,7,14,,,22,249,,,,,16,,,,,,,"2,622",,,15,,,,,,,"1,303"
2013,강남구,여자,"6,592","2,848",562,"1,780",105,376,25,278,86,102,32,9,16,1,10,,,22,122,,,,,49,,,,,,,"2,159",,,43,,,,,,,"1,093"
2013,송파구,계,"13,650","9,277","1,368","7,210",165,434,100,949,555,210,80,36,36,7,6,,,19,78,,,,,60,,,,,,,"1,985",,,57,,,,,,,"1,244"
2013,송파구,남자,"6,039","3,915",471,"3,110",92,192,50,387,214,82,50,12,13,4,5,,,7,58,,,,,21,,,,,,,"1,006",,,20,,,,,,,632
2013,송파구,여자,"7,611","5,362",897,"4,100",73,242,50,562,341,128,30,24,23,3,1,,,12,20,,,,,39,,,,,,,979,,,37,,,,,,,612
2013,강동구,계,"9,019","6,597","1,120","4,902",86,354,135,919,594,233,19,21,25,1,22,,,4,122,,,,,76,,,,,,,684,,,25,,,,,,,596
2013,강동구,남자,"3,666","2,599",335,"2,058",46,115,45,297,162,100,5,11,7,1,10,,,1,90,,,,,26,,,,,,,349,,,11,,,,,,,294
2013,강동구,여자,"5,353","3,998",785,"2,844",40,239,90,622,432,133,14,10,18,-,12,,,3,32,,,,,50,,,,,,,335,,,14,,,,,,,302
2014,합계,계,"415,059","319,973","57,086","235,645","10,161","12,508","4,573","24,726","12,323","6,047","1,572","1,057","1,247",408,727,,,"1,345","6,842",,,,,"3,553",,,,,,,"31,755",,,"2,257",,,,,,,"25,953"
2014,합계,남자,"189,107","142,735","22,016","109,024","4,970","4,975","1,750","8,363","3,684","2,138",604,498,449,258,349,,,383,"4,797",,,,,"1,353",,,,,,,"16,524",,,773,,,,,,,"14,562"
2014,합계,여자,"225,952","177,238","35,070","126,621","5,191","7,533","2,823","16,363","8,639","3,909",968,559,798,150,378,,,962,"2,045",,,,,"2,200",,,,,,,"15,231",,,"1,484",,,,,,,"11,391"
2014,종로구,계,"11,998","8,093","2,641","4,704",312,315,121,692,264,224,44,33,13,14,29,,,71,621,,,,,120,,,,,,,"1,396",,,51,,,,,,,"1,025"
2014,종로구,남자,"5,438","3,406","1,071","2,038",128,131,38,233,76,91,15,11,8,4,10,,,18,422,,,,,42,,,,,,,724,,,18,,,,,,,593
2014,종로구,여자,"6,560","4,687","1,570","2,666",184,184,83,459,188,133,29,22,5,10,19,,,53,199,,,,,78,,,,,,,672,,,33,,,,,,,432
2014,중구,계,"11,559","7,860","1,805","4,647",731,303,374,596,234,165,36,71,18,6,30,,,36,413,,,,,727,,,,,,,817,,,382,,,,,,,764
2014,중구,남자,"5,422","3,564",822,"2,058",387,147,150,263,93,74,19,44,7,-,14,,,12,270,,,,,295,,,,,,,438,,,152,,,,,,,440
2014,중구,여자,"6,137","4,296",983,"2,589",344,156,224,333,141,91,17,27,11,6,16,,,24,143,,,,,432,,,,,,,379,,,230,,,,,,,324
2014,용산구,계,"18,573","7,399","1,032","3,730",401,"2,082",154,"1,221",209,673,104,55,41,21,38,,,80,"1,005",,,,,264,,,,,,,"4,184",,,342,,,,,,,"4,158"
2014,용산구,남자,"9,273","3,238",349,"1,547",189,"1,104",49,368,39,185,44,18,15,20,15,,,32,689,,,,,109,,,,,,,"2,173",,,96,,,,,,,"2,600"
2014,용산구,여자,"9,300","4,161",683,"2,183",212,978,105,853,170,488,60,37,26,1,23,,,48,316,,,,,155,,,,,,,"2,011",,,246,,,,,,,"1,558"
